id,link,country,time_id,recommend,value,fun,reviews,game,date,total_time,review_time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1423,https://steamcommunity.com/profiles/76561198082420241/recommended/,Other,10,Recommended,0,1,"After trying to get S rank in this game, I can confirm that there will be bloodshed.								",https://steamcommunity.com/app/235460,29-Apr,23.6,18.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1423,https://steamcommunity.com/profiles/76561198082420241/recommended/,Other,9,Recommended,0,0,"Glob Glob Glob								",https://steamcommunity.com/app/293780,14-Apr,2.1,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1423,https://steamcommunity.com/profiles/76561198082420241/recommended/,Other,8,Recommended,0,0,"The game itself is very enjoyable, the combat is nice and smooth and theres somewhat variety in characters. The experience varies heavily depending on what kind of game you're playing.Casual / LocalIt is a much more fun experience, cause you can pretty much play any character and still have fun in the game since neither of you really care that much about winningRankedRanked is much less fun but definitely there for the competitive type of player, the biggest issue I have this Ranked is the lag and server issues I experience a lot when playing, even if its a few matches.								",https://steamcommunity.com/app/1490890,23-Jan,19.9,13.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1423,https://steamcommunity.com/profiles/76561198082420241/recommended/,Other,7,Not Recommended,3,0,"Game good, but now bad.								",https://steamcommunity.com/app/1301210,15-Jan,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1423,https://steamcommunity.com/profiles/76561198082420241/recommended/,Other,6,Recommended,0,0,"I like, but game make me rush :(								",https://steamcommunity.com/app/1167630,15-Jan,17.6,12.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1423,https://steamcommunity.com/profiles/76561198082420241/recommended/,Other,5,Recommended,0,0,"Keanu Reeves								",https://steamcommunity.com/app/1091500,15-Jan,178.3,162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1423,https://steamcommunity.com/profiles/76561198082420241/recommended/,Other,4,Recommended,2,0,"Even though I have yet to play the game much, I can highly recommend it for its horror aspect, of course the game is easier with friends,but alone the terror feels much more affective, since you have no one to talk to and well, all you can really hear is the ambient sounds of the area, although I will admit the tutorial was a bit questionable, as sometimes it did not seem to work, but it is an Early Access Game, so I will let it pass.The graphics, although not 2020 graphics, is something that aids into the horror, with the old style it really feels more horrifying than if you had more advanced graphics, I'd rate it 8/10								",https://steamcommunity.com/app/739630,"2 October, 2020",49.3,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1423,https://steamcommunity.com/profiles/76561198082420241/recommended/,Other,3,Recommended,0,0,"I used to play this game on the web version, it was fun most of the time and I enjoy it with friends. I went to buy it and overall it felt like a great addition to my library, the gameplay goes around trusting people and lying to get your way through it all. . . mostly when you're on the evil side of the spectrum. . . I bought the Coven dlc and the amount of roles that were added were all entertaining and different, I'd give the game a 9/10, although I would of given it a 10/10 the community can be a bit toxic sometimes, but that's not to the fault of the creators, mostly just how people act.								",https://steamcommunity.com/app/334230,"25 April, 2020",25.8,8.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1423,https://steamcommunity.com/profiles/76561198082420241/recommended/,Other,2,Recommended,0,0,"10/10, I love the story and how every choice you make can affect something in the world								",https://steamcommunity.com/app/22380,"29 June, 2019",427.2,304.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1423,https://steamcommunity.com/profiles/76561198082420241/recommended/,Other,1,Recommended,0,0,"Explosives and miniguns, the best combonation for murderers :3								",https://steamcommunity.com/app/348090,"13 May, 2019",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1424,https://steamcommunity.com/profiles/76561198008012287/recommended/,Other,10,Recommended,0,0,"génial								",https://steamcommunity.com/app/1466860,14-Jul,97.5,94.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1424,https://steamcommunity.com/profiles/76561198008012287/recommended/,Other,9,Recommended,0,0,cool ,https://steamcommunity.com/app/252490,5-May,505.4,271.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1424,https://steamcommunity.com/profiles/76561198008012287/recommended/,Other,8,Recommended,0,0,"faux juste des amies								",https://steamcommunity.com/app/945360,"5 March, 2021",40.7,26.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1424,https://steamcommunity.com/profiles/76561198008012287/recommended/,Other,7,Recommended,2,0,"jeu incroyable mes faut une bonne connexion et un bon pc								",https://steamcommunity.com/app/905370,"10 February, 2021",64.8,37.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1424,https://steamcommunity.com/profiles/76561198008012287/recommended/,Other,6,Recommended,0,0,"bien mais il y a de moins en moins de monde								",https://steamcommunity.com/app/1237950,"20 January, 2021",41.9,9.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1424,https://steamcommunity.com/profiles/76561198008012287/recommended/,Other,5,Recommended,0,0,"niquel								",https://steamcommunity.com/app/409590,"1 November, 2020",37.7,20.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1424,https://steamcommunity.com/profiles/76561198008012287/recommended/,Other,4,Recommended,0,0,"dans des mot bref bug pas beaucoupagreablecoolgentil fait pas peur (tu te chie dessus)parfait								",https://steamcommunity.com/app/739630,"20 October, 2020",91.7,9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1424,https://steamcommunity.com/profiles/76561198008012287/recommended/,Other,3,Recommended,0,0,cool ,https://steamcommunity.com/app/4000,"20 July, 2020",106.7,175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1424,https://steamcommunity.com/profiles/76561198008012287/recommended/,Other,2,Recommended,0,0,"cool juste abcense de joueur								",https://steamcommunity.com/app/397900,"17 May, 2020",28.6,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1424,https://steamcommunity.com/profiles/76561198008012287/recommended/,Other,1,Recommended,0,0,"un jeu super remplie d action								",https://steamcommunity.com/app/730,"16 April, 2020",319.4,877.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1425,https://steamcommunity.com/profiles/76561198084813166/recommended/,Other,10,Recommended,0,0,"Hugs.								",https://steamcommunity.com/app/812810,"1 July, 2019",0.9,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1425,https://steamcommunity.com/profiles/76561198084813166/recommended/,Other,9,Recommended,0,0,"Hell to the yeah, great game								",https://steamcommunity.com/app/359550,"29 June, 2019",157.2,156.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1425,https://steamcommunity.com/profiles/76561198084813166/recommended/,Other,8,Recommended,0,0,"Cute little horror game, it was very fun to play through. The guy with long arms was annoying though.								",https://steamcommunity.com/app/424840,"5 May, 2019",15.5,15.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1425,https://steamcommunity.com/profiles/76561198084813166/recommended/,Other,7,Recommended,0,0,"Cute!!								",https://steamcommunity.com/app/495890,"24 April, 2019",9.5,9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1425,https://steamcommunity.com/profiles/76561198084813166/recommended/,Other,6,Recommended,0,1,I mean it's dark souls 3... It's hard ,https://steamcommunity.com/app/374320,"24 April, 2019",114.5,20.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
